,Elevation,MS_B1,Random1000,SuperGroup_Transvaal,GeoGroup_Chuniespoort,GeoGroup_Pretoria,Formation_Eccles,Formation_KarooDolerite,Formation_Lyttelton,Formation_MonteChristo,Formation_Oaktree,Formation_Rooihoogte,Formation_TimeballHill,Chert_presence,Diamictite_presence,Dolomite_presence,Limestone_presence,Mudrock_presence,Quartzite_presence,Shale_presence,Distance_Faults,Distance_Dikes,MS_B2,MS_B3,MS_B4,CIg,EVI,GNDVI,IronOxide,MSAVI2,MTVI2,NDVI,NDWI,SR,VARI,Slope,Aspect,MeanCurv,CasCurv,GaussCurv,ProfCurv,TanCurv,TRI,VRM,VRM7,Distance_Stream500,Distance_Stream500_Elev,Distance_Stream2k,Distance_Stream2k_Elev
0,0.2157407407407407,0.10370370370370367,0.011111111111111094,0.0037037037037036757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.14074074074074072,0.09351851851851851,0.005555555555555558,,0.20462962962962958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.15648148148148142,0.09074074074074068,-0.002777777777777812,,,0.17870370370370367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.20925925925925926,0.13055555555555556,0.022222222222222233,,,,0.0037037037037037203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.20925925925925934,0.1305555555555556,0.016666666666666698,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.23425925925925925,0.14351851851851855,0.023148148148148185,,,,,,0.00648148148148151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.22777777777777772,0.06574074074074068,-0.01388888888888895,,,,,,,0.056481481481481445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.22870370370370371,0.1305555555555555,0.025925925925925908,,,,,,,,0.006481481481481466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.20648148148148143,0.10740740740740735,0.012962962962962909,,,,,,,,,0.021296296296296258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.19999999999999996,0.1157407407407407,0.03518518518518517,,,,,,,,,,0.054629629629629584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.12314814814814823,0.048148148148148204,6.661338147750939e-17,,,,,,,,,,,0.1481481481481482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.19351851851851856,0.11296296296296297,0.031481481481481534,,,,,,,,,,,,0.04814814814814816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.14907407407407405,0.09444444444444441,0.004629629629629628,,,,,,,,,,,,,0.19999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
